leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
268,10329.4,-121.5875,36.0433,1.917,2.37,0.000,6.00,6.000,6.000,2098.5,1
269,10331.7,-121.5745,36.0281,1.918,2.41,0.000,6.00,6.000,6.000,2098.4,1
270,10337.4,-121.5367,36.0117,1.926,2.47,0.000,6.00,6.000,6.000,2105.3,1
271,10343.8,-121.4945,35.9761,1.892,2.47,0.000,6.00,6.000,6.000,2101.3,1
272,10345.8,-121.4803,35.9403,1.879,2.43,0.000,6.00,6.000,6.000,2087.2,1
273,10350.9,-121.4708,35.9092,1.880,2.36,0.000,6.00,6.000,6.000,2088.1,1
274,10353.7,-121.4526,35.8780,1.863,2.28,0.000,6.00,6.000,6.000,2070.9,1
275,10357.8,-121.4255,35.8566,1.850,2.23,0.000,6.00,6.000,6.000,2059.9,1
276,10361.0,-121.3980,35.8327,1.826,2.17,0.000,6.00,6.000,6.000,2035.6,1
277,10366.9,-121.3622,35.8040,1.810,2.10,0.000,6.00,6.000,6.000,2022.3,1
278,10375.2,-121.3259,35.7501,1.787,1.94,0.000,6.00,6.000,6.000,2001.1,1
279,10379.5,-121.3015,35.6976,1.756,1.87,0.000,6.00,6.000,6.000,1970.7,1
